#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
1,1,1,17.43,11.7537,0.013676,3.54459,0,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.075,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.075,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.01,1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.05,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.1,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.005,1
1,1,1,85.32,43.2697,0.0129079,2.85236,0,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.001,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.025,1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.1,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.075,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.01,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.05,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.001,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.025,1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.005,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.075,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.05,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.1,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.001,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.025,1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.005,1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.01,1
1,1,1,32.9,19.8713,0.00550602,3.70086,0.005,0
1,1,1,32.9,19.8713,0.00550602,3.70086,0.075,-1
1,1,1,32.9,19.8713,0.00550602,3.70086,0.05,-1
1,1,1,32.9,19.8713,0.00550602,3.70086,0,0
1,1,1,32.9,19.8713,0.00550602,3.70086,0.1,-1
1,1,1,32.9,19.8713,0.00550602,3.70086,0.001,0
1,1,1,32.9,19.8713,0.00550602,3.70086,0.01,0
1,1,1,32.9,19.8713,0.00550602,3.70086,0.025,1
1,1,1,14.87,8.02929,0.0785196,2.58037,0,0
1,1,1,14.87,8.02929,0.0785196,2.58037,0.075,-1
1,1,1,14.87,8.02929,0.0785196,2.58037,0.001,0
1,1,1,14.87,8.02929,0.0785196,2.58037,0.01,1
1,1,1,14.87,8.02929,0.0785196,2.58037,0.025,1
1,1,1,14.87,8.02929,0.0785196,2.58037,0.1,-1
1,1,1,14.87,8.02929,0.0785196,2.58037,0.05,-1
1,1,1,14.87,8.02929,0.0785196,2.58037,0.005,0
1,1,1,6.72,4.48325,0.0879685,2.89072,0.075,-1
1,1,1,6.72,4.48325,0.0879685,2.89072,0,0
1,1,1,6.72,4.48325,0.0879685,2.89072,0.01,1
1,1,1,6.72,4.48325,0.0879685,2.89072,0.001,0
1,1,1,6.72,4.48325,0.0879685,2.89072,0.05,-1
1,1,1,6.72,4.48325,0.0879685,2.89072,0.1,-1
1,1,1,6.72,4.48325,0.0879685,2.89072,0.025,-1
1,1,1,6.72,4.48325,0.0879685,2.89072,0.005,0
1,1,1,85.32,43.1854,0.0195524,2.28545,0.001,0
1,1,1,85.32,43.1854,0.0195524,2.28545,0.075,-1
1,1,1,85.32,43.1854,0.0195524,2.28545,0.05,-1
1,1,1,85.32,43.1854,0.0195524,2.28545,0.1,-1
1,1,1,85.32,43.1854,0.0195524,2.28545,0.025,1
1,1,1,85.32,43.1854,0.0195524,2.28545,0,0
1,1,1,85.32,43.1854,0.0195524,2.28545,0.005,0
1,1,1,85.32,43.1854,0.0195524,2.28545,0.01,1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.01,1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.075,-1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.001,0
1,1,1,32.9,17.0363,0.0367583,2.67266,0.005,0
1,1,1,32.9,17.0363,0.0367583,2.67266,0,0
1,1,1,32.9,17.0363,0.0367583,2.67266,0.025,1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.05,-1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.1,-1
1,1,1,2.59,1.795,0.557103,1.4429,0.01,1
1,1,1,2.59,1.795,0.557103,1.4429,0,1
1,1,1,2.59,1.795,0.557103,1.4429,0.075,-1
1,1,1,2.59,1.795,0.557103,1.4429,0.025,1
1,1,1,2.59,1.795,0.557103,1.4429,0.005,1
1,1,1,2.59,1.795,0.557103,1.4429,0.05,-1
1,1,1,2.59,1.795,0.557103,1.4429,0.001,1
1,1,1,2.59,1.795,0.557103,1.4429,0.1,-1
1,1,1,9.24,5.14673,0.164821,2.08643,0.075,-1
1,1,1,9.24,5.14673,0.164821,2.08643,0,0
1,1,1,9.24,5.14673,0.164821,2.08643,0.01,1
1,1,1,9.24,5.14673,0.164821,2.08643,0.05,-1
1,1,1,9.24,5.14673,0.164821,2.08643,0.001,0
1,1,1,9.24,5.14673,0.164821,2.08643,0.1,-1
1,1,1,9.24,5.14673,0.164821,2.08643,0.025,1
1,1,1,9.24,5.14673,0.164821,2.08643,0.005,0
1,1,1,72.79,39.4224,0.00217266,3.78764,0.025,1
1,1,1,72.79,39.4224,0.00217266,3.78764,0.075,-1
1,1,1,72.79,39.4224,0.00217266,3.78764,0.001,0
1,1,1,72.79,39.4224,0.00217266,3.78764,0,0
1,1,1,72.79,39.4224,0.00217266,3.78764,0.1,-1
1,1,1,72.79,39.4224,0.00217266,3.78764,0.01,0
1,1,1,72.79,39.4224,0.00217266,3.78764,0.05,-1
1,1,1,72.79,39.4224,0.00217266,3.78764,0.005,0
1,1,1,4.89,2.97424,0.286547,1.91967,0.075,-1
1,1,1,4.89,2.97424,0.286547,1.91967,0.01,1
1,1,1,4.89,2.97424,0.286547,1.91967,0.05,-1
1,1,1,4.89,2.97424,0.286547,1.91967,0.1,-1
1,1,1,4.89,2.97424,0.286547,1.91967,0.005,0
1,1,1,4.89,2.97424,0.286547,1.91967,0.025,1
1,1,1,4.89,2.97424,0.286547,1.91967,0,0
1,1,1,4.89,2.97424,0.286547,1.91967,0.001,0
1,1,1,1.61,1.305,0.766284,1.23372,0.005,1
1,1,1,1.61,1.305,0.766284,1.23372,0.075,-1
1,1,1,1.61,1.305,0.766284,1.23372,0.001,1
1,1,1,1.61,1.305,0.766284,1.23372,0.025,1
1,1,1,1.61,1.305,0.766284,1.23372,0.05,-1
1,1,1,1.61,1.305,0.766284,1.23372,0.1,-1
1,1,1,1.61,1.305,0.766284,1.23372,0.01,1
1,1,1,1.61,1.305,0.766284,1.23372,0,1
1,1,1,23.95,14.5513,0.0101021,3.59773,0.005,0
1,1,1,23.95,14.5513,0.0101021,3.59773,0.075,-1
1,1,1,23.95,14.5513,0.0101021,3.59773,0,0
1,1,1,23.95,14.5513,0.0101021,3.59773,0.05,-1
1,1,1,23.95,14.5513,0.0101021,3.59773,0.1,-1
1,1,1,23.95,14.5513,0.0101021,3.59773,0.025,1
1,1,1,23.95,14.5513,0.0101021,3.59773,0.01,0
1,1,1,23.95,14.5513,0.0101021,3.59773,0.001,0
1,1,1,4.18,2.64635,0.295862,1.99109,0.001,0
1,1,1,4.18,2.64635,0.295862,1.99109,0.075,-1
1,1,1,4.18,2.64635,0.295862,1.99109,0,1
1,1,1,4.18,2.64635,0.295862,1.99109,0.025,1
1,1,1,4.18,2.64635,0.295862,1.99109,0.05,-1
1,1,1,4.18,2.64635,0.295862,1.99109,0.005,0
1,1,1,4.18,2.64635,0.295862,1.99109,0.1,-1
1,1,1,4.18,2.64635,0.295862,1.99109,0.01,1
1,1,1,28.07,14.6224,0.0428657,2.65916,0.075,-1
1,1,1,28.07,14.6224,0.0428657,2.65916,0,0
1,1,1,28.07,14.6224,0.0428657,2.65916,0.001,0
1,1,1,28.07,14.6224,0.0428657,2.65916,0.05,-1
1,1,1,28.07,14.6224,0.0428657,2.65916,0.1,-1
1,1,1,28.07,14.6224,0.0428657,2.65916,0.01,1
1,1,1,28.07,14.6224,0.0428657,2.65916,0.005,0
1,1,1,28.07,14.6224,0.0428657,2.65916,0.025,1
1,1,1,28.07,17.0004,0.00746603,3.65283,0.075,-1
1,1,1,28.07,17.0004,0.00746603,3.65283,0,0
1,1,1,28.07,17.0004,0.00746603,3.65283,0.05,-1
1,1,1,28.07,17.0004,0.00746603,3.65283,0.1,-1
1,1,1,28.07,17.0004,0.00746603,3.65283,0.001,0
1,1,1,28.07,17.0004,0.00746603,3.65283,0.025,1
1,1,1,28.07,17.0004,0.00746603,3.65283,0.01,0
1,1,1,28.07,17.0004,0.00746603,3.65283,0.005,0
1,1,1,45.2,23.1117,0.0398987,2.11,0.025,1
1,1,1,45.2,23.1117,0.0398987,2.11,0.075,-1
1,1,1,45.2,23.1117,0.0398987,2.11,0.001,0
1,1,1,45.2,23.1117,0.0398987,2.11,0.05,-1
1,1,1,45.2,23.1117,0.0398987,2.11,0.01,1
1,1,1,45.2,23.1117,0.0398987,2.11,0.1,-1
1,1,1,45.2,23.1117,0.0398987,2.11,0.005,1
1,1,1,45.2,23.1117,0.0398987,2.11,0,0
1,1,1,85.32,49.2838,0.00100301,3.86808,0.075,-1
1,1,1,85.32,49.2838,0.00100301,3.86808,0.05,-1
1,1,1,85.32,49.2838,0.00100301,3.86808,0.01,0
1,1,1,85.32,49.2838,0.00100301,3.86808,0.1,-1
1,1,1,85.32,49.2838,0.00100301,3.86808,0.005,0
1,1,1,85.32,49.2838,0.00100301,3.86808,0.025,1
1,1,1,85.32,49.2838,0.00100301,3.86808,0,0
1,1,1,85.32,49.2838,0.00100301,3.86808,0.001,0
1,1,1,10.83,5.94136,0.142668,2.11678,0.075,-1
1,1,1,10.83,5.94136,0.142668,2.11678,0.05,-1
1,1,1,10.83,5.94136,0.142668,2.11678,0.1,-1
1,1,1,10.83,5.94136,0.142668,2.11678,0.001,0
1,1,1,10.83,5.94136,0.142668,2.11678,0,0
1,1,1,10.83,5.94136,0.142668,2.11678,0.025,1
1,1,1,10.83,5.94136,0.142668,2.11678,0.01,1
1,1,1,10.83,5.94136,0.142668,2.11678,0.005,0
1,1,1,52.98,27.7132,0.00723648,3.54251,0.005,0
1,1,1,52.98,27.7132,0.00723648,3.54251,0.1,-1
1,1,1,52.98,27.7132,0.00723648,3.54251,0.075,-1
